70;Alessandro Rosina;1984-01-31;Acn Siena 1904/Attack/Right Winger;168
71;Gaetano D'Agostino;1982-06-03;Acn Siena 1904/Midfield/Central Midfield;180
72;Francesco Valiani;1980-10-29;Acn Siena 1904/Midfield/Central Midfield;175
73;Francesco Parravicini;1982-01-31;Acn Siena 1904/Midfield/Defensive Midfield;176
74;Daniele Mannini;1983-10-25;Acn Siena 1904/Midfield/Right Midfield;183
75;Fabrizio Grillo;1987-02-02;Acn Siena 1904/Defender/Left-Back;177
76;Michele Paolucci;1986-02-06;Acn Siena 1904/Attack/Centre-Forward;182
77;Christian Terlizzi;1979-11-22;Acn Siena 1904/Defender/Centre-Back;195
78;Massimo Paci;1978-05-09;Acn Siena 1904/Defender/Centre-Back;188
79;Carlos Matheu;1985-05-13;Acn Siena 1904/Defender/Centre-Back;182
80;Simone Vergassola;1976-01-24;Acn Siena 1904/Midfield/Defensive Midfield;174
81;Angelo;1981-06-12;Acn Siena 1904/Defender/Right-Back;175
82;Matías Martínez;1988-03-24;Acn Siena 1904/Defender/Centre-Back;184
83;Andrea Campagnolo;1978-06-17;Acn Siena 1904/Goalkeeper/Goalkeeper;184
84;Emanuele Geria;1995-07-29;Acn Siena 1904/Goalkeeper/Goalkeeper;190
85;Federico Marini;1994-03-28;Acn Siena 1904/Goalkeeper/Goalkeeper;0
86;Marco Migliorini;1992-01-03;Fc Turin/Defender/Centre-Back;194
87;Ribair Rodríguez;1987-10-04;Acn Siena 1904/Midfield/Defensive Midfield;182
88;Paolo Dellafiore;1985-02-02;Acn Siena 1904/Defender/Centre-Back;186
89;Marco Sellan;1994-01-02;Udinese Calcio/Attack/Centre-Forward;182
90;Philipp Prosenik;1993-03-03;Ac Mailand/Attack/Centre-Forward;188
91;Simone Tiribocchi;1978-01-31;Atalanta Bergamo/Attack/Centre-Forward;0
92;Federico Gerardi;1987-12-10;Udinese Calcio/Attack/Centre-Forward;190
93;Vincenzo Iaquinta;1979-11-21;Juventus Turin/Attack/Centre-Forward;191
94;Riccardo Maniero;1987-11-26;Delfino Pescara 1936/Attack/Centre-Forward;185
95;Leonardo Melazzi;1991-02-04;Genua Cfc/Attack/Right Winger;176
96;Marco Rossi;1978-04-01;Genua Cfc/Midfield/Right Midfield;179
97;Marco Rigoni;1980-01-05;Genua Cfc/Midfield/Central Midfield;175
98;Simone Perrotta;1977-09-17;As Rom/Attack/Attacking Midfield;178
99;Linus Hallenius;1989-04-01;Genua Cfc/Attack/Centre-Forward;187
100;Loïc Nego;1991-01-15;As Rom/Defender/Right-Back;181
101;Igor Budan;1980-04-22;Atalanta Bergamo/Attack/Centre-Forward;185
102;Anselmo;1989-02-20;Genua Cfc/Midfield/Defensive Midfield;182
103;Robert Stillo;1991-03-15;Genua Cfc/Goalkeeper/Goalkeeper;188
104;Ferreira Pinto;1979-12-10;Atalanta Bergamo/Attack/Right Winger;178
105;Leonardo Pettinari;1986-07-23;Atalanta Bergamo/Attack/Left Winger;0
106;Damiano Ferronetti;1984-11-01;Genua Cfc/Defender/Centre-Back;184
107;Michele Ferri;1981-05-29;Atalanta Bergamo/Defender/Centre-Back;185
108;Elvis Kabashi;1994-02-20;Juventus Turin/Midfield/Central Midfield;177
109;Alberto Masi;1992-09-02;Juventus Turin/Defender/Centre-Back;188
110;Elvis Abbruscato;1981-04-14;Delfino Pescara 1936/Attack/Centre-Forward;181
111;Giovanbattista Catalano;1994-01-22;Delfino Pescara 1936/Attack/Right Winger;172
112;Federico Gagliardini;1994-01-24;Juventus Turin/Goalkeeper/Goalkeeper;185
113;Lucas Chiaretti;1987-09-22;Delfino Pescara 1936/Attack/Attacking Midfield;171
114;Lúcio;1978-05-08;Juventus Turin/Defender/Centre-Back;188
115;Ferdinando Sforzini;1984-12-04;Delfino Pescara 1936/Attack/Centre-Forward;194
116;Marco Iannascoli;1994-11-06;Delfino Pescara 1936/Midfield/Central Midfield;179
117;Giuseppe Colucci;1980-08-24;Delfino Pescara 1936/Midfield/Central Midfield;180
118;Michele Chelo;1993-05-05;Cagliari Calcio/Attack/Centre-Forward;176
119;Manuele Blasi;1980-08-17;Delfino Pescara 1936/Midfield/Central Midfield;178
120;Thiago Ribeiro;1986-02-24;Cagliari Calcio/Attack/Left Winger;183
121;Marco Piredda;1994-05-04;Cagliari Calcio/Attack/Attacking Midfield;174
122;Andrea Mancini;1996-04-26;Delfino Pescara 1936/Attack/Left Winger;173
123;Pablo Ceppelini;1991-09-11;Cagliari Calcio/Attack/Attacking Midfield;178
124;Milton Caraglio;1988-12-01;Delfino Pescara 1936/Attack/Centre-Forward;187
125;Marco Russu;1995-10-15;Cagliari Calcio/Defender/Left-Back;180
126;Vincenzo Camilleri;1992-03-06;Cagliari Calcio/Defender/Centre-Back;192
127;Riccardo Anedda;1993-07-08;Cagliari Calcio/Goalkeeper/Goalkeeper;187
128;Giuseppe Rizzo;1991-03-18;Delfino Pescara 1936/Midfield/Central Midfield;180
129;Luca Lulli;1991-12-22;Delfino Pescara 1936/Midfield/Defensive Midfield;180
130;Romulo Togni;1982-09-09;Delfino Pescara 1936/Midfield/Defensive Midfield;183
131;Marco Vittiglio;1994-01-17;Delfino Pescara 1936/Defender/Right-Back;179
132;Luca Berardocco;1991-01-22;Delfino Pescara 1936/Midfield/Defensive Midfield;176
133;David Mbodj Mbaye;1994-09-15;Delfino Pescara 1936/Defender/Centre-Back;193
